Datum,Jahr,Monat,Tag_des_Monats,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,Temperatur_Code,Wettercode_Ueberkat,Windgeschwindigkeit_kodiert
2014-03-15,2014,3,15,4,9.0375,27,0,2,4,3
2014-03-15,2014,3,15,4,9.0375,27,0,2,4,3
2014-03-15,2014,3,15,4,9.0375,27,0,2,4,3
2014-03-15,2014,3,15,4,9.0375,27,0,2,4,3
2014-03-15,2014,3,15,4,9.0375,27,0,2,4,3
2019-03-08,2019,3,8,5,6.8875,26,61,2,1,3
2019-03-08,2019,3,8,5,6.8875,26,61,2,1,3
2019-03-08,2019,3,8,5,6.8875,26,61,2,1,3
2019-03-08,2019,3,8,5,6.8875,26,61,2,1,3
2019-03-08,2019,3,8,5,6.8875,26,61,2,1,3
2013-12-06,2013,12,6,6,1.7875,25,73,2,5,3
2015-01-03,2015,1,3,7,4.875,25,69,2,5,3
2013-12-06,2013,12,6,6,1.7875,25,73,2,5,3
2015-01-03,2015,1,3,7,4.875,25,69,2,5,3
2013-12-06,2013,12,6,6,1.7875,25,73,2,5,3
2015-01-03,2015,1,3,7,4.875,25,69,2,5,3
2013-12-06,2013,12,6,6,1.7875,25,73,2,5,3
2015-01-03,2015,1,3,7,4.875,25,69,2,5,3
2013-12-06,2013,12,6,6,1.7875,25,73,2,5,3
2015-01-03,2015,1,3,7,4.875,25,69,2,5,3
2013-12-06,2013,12,6,6,1.7875,25,73,2,5,3
2015-01-03,2015,1,3,7,4.875,25,69,2,5,3
2015-01-09,2015,1,9,6,7.5,25,63,2,1,3
2019-03-15,2019,3,15,7,7.4875,25,61,2,1,3
2015-01-09,2015,1,9,6,7.5,25,63,2,1,3
2019-03-15,2019,3,15,7,7.4875,25,61,2,1,3
2015-01-09,2015,1,9,6,7.5,25,63,2,1,3
2019-03-15,2019,3,15,7,7.4875,25,61,2,1,3
2015-01-09,2015,1,9,6,7.5,25,63,2,1,3
2019-03-15,2019,3,15,7,7.4875,25,61,2,1,3
2015-01-09,2015,1,9,6,7.5,25,63,2,1,3
2019-03-15,2019,3,15,7,7.4875,25,61,2,1,3
2014-12-20,2014,12,20,6,5.375,24,21,2,5,3
2015-04-01,2015,4,1,4,5,24,22,2,5,3
2017-10-12,2017,10,12,6,13.1875,24,21,2,5,3
2014-12-20,2014,12,20,6,5.375,24,21,2,5,3
2015-04-01,2015,4,1,4,5,24,22,2,5,3
2017-10-12,2017,10,12,6,13.1875,24,21,2,5,3
2014-12-20,2014,12,20,6,5.375,24,21,2,5,3
2015-04-01,2015,4,1,4,5,24,22,2,5,3
2017-10-12,2017,10,12,6,13.1875,24,21,2,5,3
2015-04-01,2015,4,1,4,5,24,22,2,5,3
2017-10-12,2017,10,12,6,13.1875,24,21,2,5,3
2014-12-20,2014,12,20,6,5.375,24,21,2,5,3
2015-04-01,2015,4,1,4,5,24,22,2,5,3
2017-10-12,2017,10,12,6,13.1875,24,21,2,5,3
2014-12-20,2014,12,20,6,5.375,24,21,2,5,3
2014-07-09,2014,7,9,0,24.65,24,5,3,4,3
2014-07-09,2014,7,9,0,24.65,24,5,3,4,3
2014-07-09,2014,7,9,0,24.65,24,5,3,4,3
2014-07-09,2014,7,9,0,24.65,24,5,3,4,3
2014-07-09,2014,7,9,0,24.65,24,5,3,4,3
2013-12-05,2013,12,5,7,4.4625,24,63,2,1,3
2014-03-16,2014,3,16,7,9.3375,24,61,2,1,3
2015-01-02,2015,1,2,6,7.75,24,61,2,1,3
2015-07-09,2015,7,9,6,14.375,24,61,2,1,3
2013-12-05,2013,12,5,7,4.4625,24,63,2,1,3
2014-03-16,2014,3,16,7,9.3375,24,61,2,1,3
2015-01-02,2015,1,2,6,7.75,24,61,2,1,3
2015-07-09,2015,7,9,6,14.375,24,61,2,1,3
2013-12-05,2013,12,5,7,4.4625,24,63,2,1,3
2014-03-16,2014,3,16,7,9.3375,24,61,2,1,3
2015-01-02,2015,1,2,6,7.75,24,61,2,1,3
2015-07-09,2015,7,9,6,14.375,24,61,2,1,3
2013-12-05,2013,12,5,7,4.4625,24,63,2,1,3
2014-03-16,2014,3,16,7,9.3375,24,61,2,1,3
2015-01-02,2015,1,2,6,7.75,24,61,2,1,3
2015-07-09,2015,7,9,6,14.375,24,61,2,1,3
2013-12-05,2013,12,5,7,4.4625,24,63,2,1,3
2014-03-16,2014,3,16,7,9.3375,24,61,2,1,3
2015-01-02,2015,1,2,6,7.75,24,61,2,1,3
2015-07-09,2015,7,9,6,14.375,24,61,2,1,3
2013-12-05,2013,12,5,7,4.4625,24,63,2,1,3
2015-01-02,2015,1,2,6,7.75,24,61,2,1,3
2016-04-19,2016,4,19,5,9.5,23,21,2,5,3
2016-04-19,2016,4,19,5,9.5,23,21,2,5,3
2016-04-19,2016,4,19,5,9.5,23,21,2,5,3
2016-04-19,2016,4,19,5,9.5,23,21,2,5,3
2016-04-19,2016,4,19,5,9.5,23,21,2,5,3
2018-03-18,2018,3,18,1,-0.825,23,5,1,4,3
2018-03-18,2018,3,18,1,-0.825,23,5,1,4,3
2018-03-18,2018,3,18,1,-0.825,23,5,1,4,3
2018-03-18,2018,3,18,1,-0.825,23,5,1,4,3
2018-03-18,2018,3,18,1,-0.825,23,5,1,4,3
2014-04-14,2014,4,14,5,8.9,23,61,2,1,3
2015-01-11,2015,1,11,5,4.25,23,61,2,1,3
2015-03-02,2015,3,2,6,5.125,23,61,2,1,3
2017-04-15,2017,4,15,6,8.125,23,63,2,1,3
2018-10-23,2018,10,23,7,11.925,23,63,2,1,3
2014-04-14,2014,4,14,5,8.9,23,61,2,1,3
2015-01-11,2015,1,11,5,4.25,23,61,2,1,3
2015-03-02,2015,3,2,6,5.125,23,61,2,1,3
2017-04-15,2017,4,15,6,8.125,23,63,2,1,3
2018-10-23,2018,10,23,7,11.925,23,63,2,1,3
2014-04-14,2014,4,14,5,8.9,23,61,2,1,3
2015-01-11,2015,1,11,5,4.25,23,61,2,1,3
2015-03-02,2015,3,2,6,5.125,23,61,2,1,3
2017-04-15,2017,4,15,6,8.125,23,63,2,1,3
2018-10-23,2018,10,23,7,11.925,23,63,2,1,3
2014-04-14,2014,4,14,5,8.9,23,61,2,1,3
2015-01-11,2015,1,11,5,4.25,23,61,2,1,3
2015-03-02,2015,3,2,6,5.125,23,61,2,1,3
2017-04-15,2017,4,15,6,8.125,23,63,2,1,3
2018-10-23,2018,10,23,7,11.925,23,63,2,1,3
2014-04-14,2014,4,14,5,8.9,23,61,2,1,3
2015-01-11,2015,1,11,5,4.25,23,61,2,1,3
2015-03-02,2015,3,2,6,5.125,23,61,2,1,3
2017-04-15,2017,4,15,6,8.125,23,63,2,1,3
2018-10-23,2018,10,23,7,11.925,23,63,2,1,3
2016-07-06,2016,7,6,5,16.5,22,21,3,5,3
2016-07-06,2016,7,6,5,16.5,22,21,3,5,3
2016-07-06,2016,7,6,5,16.5,22,21,3,5,3
2016-07-06,2016,7,6,5,16.5,22,21,3,5,3
2016-07-06,2016,7,6,5,16.5,22,21,3,5,3
2014-05-28,2014,5,28,7,10.2,22,21,2,5,3
2017-03-18,2017,3,18,5,6.875,22,21,2,5,3
2014-05-28,2014,5,28,7,10.2,22,21,2,5,3
2017-03-18,2017,3,18,5,6.875,22,21,2,5,3
2014-05-28,2014,5,28,7,10.2,22,21,2,5,3
2017-03-18,2017,3,18,5,6.875,22,21,2,5,3
2017-03-18,2017,3,18,5,6.875,22,21,2,5,3
2014-05-28,2014,5,28,7,10.2,22,21,2,5,3
2017-03-18,2017,3,18,5,6.875,22,21,2,5,3
2018-04-11,2018,4,11,8,4.7125,22,0,2,4,3
2019-01-09,2019,1,9,7,3.1375,22,0,2,4,3
2018-04-11,2018,4,11,8,4.7125,22,0,2,4,3
2019-01-09,2019,1,9,7,3.1375,22,0,2,4,3
2018-04-11,2018,4,11,8,4.7125,22,0,2,4,3
2019-01-09,2019,1,9,7,3.1375,22,0,2,4,3
2018-04-11,2018,4,11,8,4.7125,22,0,2,4,3
2019-01-09,2019,1,9,7,3.1375,22,0,2,4,3
2018-04-11,2018,4,11,8,4.7125,22,0,2,4,3
2019-01-09,2019,1,9,7,3.1375,22,0,2,4,3
2017-02-23,2017,2,23,7,4.375,22,63,2,1,3
2019-03-09,2019,3,9,6,6.35,22,63,2,1,3
2017-02-23,2017,2,23,7,4.375,22,63,2,1,3
2019-03-09,2019,3,9,6,6.35,22,63,2,1,3
2017-02-23,2017,2,23,7,4.375,22,63,2,1,3
2019-03-09,2019,3,9,6,6.35,22,63,2,1,3
2017-02-23,2017,2,23,7,4.375,22,63,2,1,3
2019-03-09,2019,3,9,6,6.35,22,63,2,1,3
2017-02-23,2017,2,23,7,4.375,22,63,2,1,3
2019-03-09,2019,3,9,6,6.35,22,63,2,1,3
2014-05-27,2014,5,27,7,12.8875,21,21,2,5,3
2014-05-27,2014,5,27,7,12.8875,21,21,2,5,3
2014-05-27,2014,5,27,7,12.8875,21,21,2,5,3
2014-05-27,2014,5,27,7,12.8875,21,21,2,5,3
2014-05-27,2014,5,27,7,12.8875,21,21,2,5,3
2014-04-13,2014,4,13,6,11.0125,21,0,2,4,3
2016-12-27,2016,12,27,6,8.25,21,0,2,4,3
2017-05-02,2017,5,2,2,10.875,21,5,2,4,3
2014-04-13,2014,4,13,6,11.0125,21,0,2,4,3
2016-12-27,2016,12,27,6,8.25,21,0,2,4,3
2017-05-02,2017,5,2,2,10.875,21,5,2,4,3
2014-04-13,2014,4,13,6,11.0125,21,0,2,4,3
2016-12-27,2016,12,27,6,8.25,21,0,2,4,3
2017-05-02,2017,5,2,2,10.875,21,5,2,4,3
2014-04-13,2014,4,13,6,11.0125,21,0,2,4,3
2016-12-27,2016,12,27,6,8.25,21,0,2,4,3
2017-05-02,2017,5,2,2,10.875,21,5,2,4,3
2014-04-13,2014,4,13,6,11.0125,21,0,2,4,3
2016-12-27,2016,12,27,6,8.25,21,0,2,4,3
2017-05-02,2017,5,2,2,10.875,21,5,2,4,3
2016-12-27,2016,12,27,6,8.25,21,0,2,4,3
2018-04-10,2018,4,10,8,5.1625,21,10,2,2,3
2018-04-10,2018,4,10,8,5.1625,21,10,2,2,3
2018-04-10,2018,4,10,8,5.1625,21,10,2,2,3
2018-04-10,2018,4,10,8,5.1625,21,10,2,2,3
2018-04-10,2018,4,10,8,5.1625,21,10,2,2,3
2013-10-12,2013,10,12,8,13.025,21,63,2,1,3
2014-12-22,2014,12,22,7,9.75,21,63,2,1,3
2014-12-24,2014,12,24,5,7.75,21,61,2,1,3
2015-03-21,2015,3,21,7,4.5,21,61,2,1,3
2015-04-13,2015,4,13,4,8.875,21,61,2,1,3
2016-02-01,2016,2,1,7,7.875,21,61,2,1,3
2017-04-22,2017,4,22,5,7.5,21,61,2,1,3
2018-01-29,2018,1,29,7,7.55,21,63,2,1,3
2018-04-24,2018,4,24,5,12.0875,21,61,2,1,3
2018-11-19,2018,11,19,6,5.775,21,61,2,1,3
2019-03-18,2019,3,18,5,6.325,21,61,2,1,3
2013-10-12,2013,10,12,8,13.025,21,63,2,1,3
2014-12-22,2014,12,22,7,9.75,21,63,2,1,3
2014-12-24,2014,12,24,5,7.75,21,61,2,1,3
2015-03-21,2015,3,21,7,4.5,21,61,2,1,3
2015-04-13,2015,4,13,4,8.875,21,61,2,1,3
2016-02-01,2016,2,1,7,7.875,21,61,2,1,3
2017-04-22,2017,4,22,5,7.5,21,61,2,1,3
2018-01-29,2018,1,29,7,7.55,21,63,2,1,3
2018-04-24,2018,4,24,5,12.0875,21,61,2,1,3
2018-11-19,2018,11,19,6,5.775,21,61,2,1,3
2019-03-18,2019,3,18,5,6.325,21,61,2,1,3
2013-10-12,2013,10,12,8,13.025,21,63,2,1,3
2014-12-22,2014,12,22,7,9.75,21,63,2,1,3
2014-12-24,2014,12,24,5,7.75,21,61,2,1,3
2015-03-21,2015,3,21,7,4.5,21,61,2,1,3
2015-04-13,2015,4,13,4,8.875,21,61,2,1,3
2016-02-01,2016,2,1,7,7.875,21,61,2,1,3
2017-04-22,2017,4,22,5,7.5,21,61,2,1,3
2018-01-29,2018,1,29,7,7.55,21,63,2,1,3
2018-04-24,2018,4,24,5,12.0875,21,61,2,1,3
2018-11-19,2018,11,19,6,5.775,21,61,2,1,3
2019-03-18,2019,3,18,5,6.325,21,61,2,1,3
2013-10-12,2013,10,12,8,13.025,21,63,2,1,3
2014-12-22,2014,12,22,7,9.75,21,63,2,1,3
2015-03-21,2015,3,21,7,4.5,21,61,2,1,3
2015-04-13,2015,4,13,4,8.875,21,61,2,1,3
2016-02-01,2016,2,1,7,7.875,21,61,2,1,3
2017-04-22,2017,4,22,5,7.5,21,61,2,1,3
2018-01-29,2018,1,29,7,7.55,21,63,2,1,3
2018-04-24,2018,4,24,5,12.0875,21,61,2,1,3
2018-11-19,2018,11,19,6,5.775,21,61,2,1,3
2019-03-18,2019,3,18,5,6.325,21,61,2,1,3
2013-10-12,2013,10,12,8,13.025,21,63,2,1,3
2014-12-22,2014,12,22,7,9.75,21,63,2,1,3
2014-12-24,2014,12,24,5,7.75,21,61,2,1,3
2015-03-21,2015,3,21,7,4.5,21,61,2,1,3
2015-04-13,2015,4,13,4,8.875,21,61,2,1,3
2016-02-01,2016,2,1,7,7.875,21,61,2,1,3
2017-04-22,2017,4,22,5,7.5,21,61,2,1,3
2018-01-29,2018,1,29,7,7.55,21,63,2,1,3
2018-04-24,2018,4,24,5,12.0875,21,61,2,1,3
2018-11-19,2018,11,19,6,5.775,21,61,2,1,3
2019-03-18,2019,3,18,5,6.325,21,61,2,1,3
2014-12-22,2014,12,22,7,9.75,21,63,2,1,3
2014-12-24,2014,12,24,5,7.75,21,61,2,1,3
2018-11-19,2018,11,19,6,5.775,21,61,2,1,3
2014-08-24,2014,8,24,3,16.3125,20,21,3,5,2
2017-06-16,2017,6,16,5,17.375,20,21,3,5,2
2014-08-24,2014,8,24,3,16.3125,20,21,3,5,2
2017-06-16,2017,6,16,5,17.375,20,21,3,5,2
2014-08-24,2014,8,24,3,16.3125,20,21,3,5,2
2017-06-16,2017,6,16,5,17.375,20,21,3,5,2
2014-08-24,2014,8,24,3,16.3125,20,21,3,5,2
2017-06-16,2017,6,16,5,17.375,20,21,3,5,2
2014-08-24,2014,8,24,3,16.3125,20,21,3,5,2
2017-06-16,2017,6,16,5,17.375,20,21,3,5,2
2014-04-09,2014,4,9,7,10.1875,20,21,2,5,2
2017-03-21,2017,3,21,5,8.75,20,21,2,5,2
2017-04-23,2017,4,23,4,7.875,20,21,2,5,2
2017-10-29,2017,10,29,2,9.9,20,21,2,5,2
2019-03-17,2019,3,17,5,7.4,20,21,2,5,2
2014-04-09,2014,4,9,7,10.1875,20,21,2,5,2
2017-03-21,2017,3,21,5,8.75,20,21,2,5,2
2017-04-23,2017,4,23,4,7.875,20,21,2,5,2
2017-10-29,2017,10,29,2,9.9,20,21,2,5,2
2019-03-17,2019,3,17,5,7.4,20,21,2,5,2
2014-04-09,2014,4,9,7,10.1875,20,21,2,5,2
2017-03-21,2017,3,21,5,8.75,20,21,2,5,2
2017-04-23,2017,4,23,4,7.875,20,21,2,5,2
2017-10-29,2017,10,29,2,9.9,20,21,2,5,2
2019-03-17,2019,3,17,5,7.4,20,21,2,5,2
2014-04-09,2014,4,9,7,10.1875,20,21,2,5,2
2017-03-21,2017,3,21,5,8.75,20,21,2,5,2
2017-04-23,2017,4,23,4,7.875,20,21,2,5,2
2017-10-29,2017,10,29,2,9.9,20,21,2,5,2
2019-03-17,2019,3,17,5,7.4,20,21,2,5,2
2014-04-09,2014,4,9,7,10.1875,20,21,2,5,2
2017-03-21,2017,3,21,5,8.75,20,21,2,5,2
2017-04-23,2017,4,23,4,7.875,20,21,2,5,2
2017-10-29,2017,10,29,2,9.9,20,21,2,5,2
2019-03-17,2019,3,17,5,7.4,20,21,2,5,2
2017-05-03,2017,5,3,3,11.25,20,5,2,4,2
2018-03-15,2018,3,15,8,2.4625,20,0,2,4,2
2019-01-02,2019,1,2,0,3.9125,20,0,2,4,2
2017-05-03,2017,5,3,3,11.25,20,5,2,4,2
2018-03-15,2018,3,15,8,2.4625,20,0,2,4,2
2019-01-02,2019,1,2,0,3.9125,20,0,2,4,2
2017-05-03,2017,5,3,3,11.25,20,5,2,4,2
2018-03-15,2018,3,15,8,2.4625,20,0,2,4,2
2019-01-02,2019,1,2,0,3.9125,20,0,2,4,2
2017-05-03,2017,5,3,3,11.25,20,5,2,4,2
2018-03-15,2018,3,15,8,2.4625,20,0,2,4,2
2019-01-02,2019,1,2,0,3.9125,20,0,2,4,2
2017-05-03,2017,5,3,3,11.25,20,5,2,4,2
2018-03-15,2018,3,15,8,2.4625,20,0,2,4,2
2019-01-02,2019,1,2,0,3.9125,20,0,2,4,2
2013-10-11,2013,10,11,7,13.8625,20,10,2,2,2
2013-10-11,2013,10,11,7,13.8625,20,10,2,2,2
2013-10-11,2013,10,11,7,13.8625,20,10,2,2,2
2013-10-11,2013,10,11,7,13.8625,20,10,2,2,2
2013-10-11,2013,10,11,7,13.8625,20,10,2,2,2
2018-06-22,2018,6,22,5,15.575,20,61,3,1,2
2018-06-22,2018,6,22,5,15.575,20,61,3,1,2
2018-06-22,2018,6,22,5,15.575,20,61,3,1,2
2018-06-22,2018,6,22,5,15.575,20,61,3,1,2
2018-06-22,2018,6,22,5,15.575,20,61,3,1,2
2013-12-01,2013,12,1,5,8.6625,20,61,2,1,2
2015-09-05,2015,9,5,5,14.125,20,61,2,1,2
2015-11-19,2015,11,19,7,10.125,20,61,2,1,2
2015-12-23,2015,12,23,6,10.375,20,61,2,1,2
2016-01-08,2016,1,8,7,1.75,20,61,2,1,2
2016-02-02,2016,2,2,6,7.5,20,61,2,1,2
2016-02-14,2016,2,14,8,2.875,20,61,2,1,2
2016-10-11,2016,10,11,7,9.875,20,61,2,1,2
2017-02-22,2017,2,22,6,7.375,20,61,2,1,2
2017-09-13,2017,9,13,7,13.3375,20,63,2,1,2
2018-09-22,2018,9,22,4,13.025,20,61,2,1,2
2019-01-13,2019,1,13,7,7.6875,20,61,2,1,2
2019-03-04,2019,3,4,6,7.5375,20,61,2,1,2
2013-12-01,2013,12,1,5,8.6625,20,61,2,1,2
2015-09-05,2015,9,5,5,14.125,20,61,2,1,2
2015-11-19,2015,11,19,7,10.125,20,61,2,1,2
2015-12-23,2015,12,23,6,10.375,20,61,2,1,2
2016-01-08,2016,1,8,7,1.75,20,61,2,1,2
2016-02-02,2016,2,2,6,7.5,20,61,2,1,2
2016-02-14,2016,2,14,8,2.875,20,61,2,1,2
2016-10-11,2016,10,11,7,9.875,20,61,2,1,2
2017-02-22,2017,2,22,6,7.375,20,61,2,1,2
2017-09-13,2017,9,13,7,13.3375,20,63,2,1,2
2018-09-22,2018,9,22,4,13.025,20,61,2,1,2
2019-01-13,2019,1,13,7,7.6875,20,61,2,1,2
2019-03-04,2019,3,4,6,7.5375,20,61,2,1,2
2013-12-01,2013,12,1,5,8.6625,20,61,2,1,2
2015-09-05,2015,9,5,5,14.125,20,61,2,1,2
2015-11-19,2015,11,19,7,10.125,20,61,2,1,2
2015-12-23,2015,12,23,6,10.375,20,61,2,1,2
2016-01-08,2016,1,8,7,1.75,20,61,2,1,2
2016-02-02,2016,2,2,6,7.5,20,61,2,1,2
2016-02-14,2016,2,14,8,2.875,20,61,2,1,2
2016-10-11,2016,10,11,7,9.875,20,61,2,1,2
2017-02-22,2017,2,22,6,7.375,20,61,2,1,2
2017-09-13,2017,9,13,7,13.3375,20,63,2,1,2
2018-09-22,2018,9,22,4,13.025,20,61,2,1,2
2019-01-13,2019,1,13,7,7.6875,20,61,2,1,2
2019-03-04,2019,3,4,6,7.5375,20,61,2,1,2
2013-12-01,2013,12,1,5,8.6625,20,61,2,1,2
2015-09-05,2015,9,5,5,14.125,20,61,2,1,2
2015-11-19,2015,11,19,7,10.125,20,61,2,1,2
2015-12-23,2015,12,23,6,10.375,20,61,2,1,2
2016-01-08,2016,1,8,7,1.75,20,61,2,1,2
2016-02-02,2016,2,2,6,7.5,20,61,2,1,2
2016-02-14,2016,2,14,8,2.875,20,61,2,1,2
2016-10-11,2016,10,11,7,9.875,20,61,2,1,2
2017-02-22,2017,2,22,6,7.375,20,61,2,1,2
2017-09-13,2017,9,13,7,13.3375,20,63,2,1,2
2018-09-22,2018,9,22,4,13.025,20,61,2,1,2
2019-01-13,2019,1,13,7,7.6875,20,61,2,1,2
2019-03-04,2019,3,4,6,7.5375,20,61,2,1,2
2013-12-01,2013,12,1,5,8.6625,20,61,2,1,2
2015-09-05,2015,9,5,5,14.125,20,61,2,1,2
2015-11-19,2015,11,19,7,10.125,20,61,2,1,2
2015-12-23,2015,12,23,6,10.375,20,61,2,1,2
2016-01-08,2016,1,8,7,1.75,20,61,2,1,2
2016-02-02,2016,2,2,6,7.5,20,61,2,1,2
2016-02-14,2016,2,14,8,2.875,20,61,2,1,2
2016-10-11,2016,10,11,7,9.875,20,61,2,1,2
2017-02-22,2017,2,22,6,7.375,20,61,2,1,2
2017-09-13,2017,9,13,7,13.3375,20,63,2,1,2
2018-09-22,2018,9,22,4,13.025,20,61,2,1,2
2019-01-13,2019,1,13,7,7.6875,20,61,2,1,2
2019-03-04,2019,3,4,6,7.5375,20,61,2,1,2
2013-12-01,2013,12,1,5,8.6625,20,61,2,1,2
2015-11-19,2015,11,19,7,10.125,20,61,2,1,2
2015-12-23,2015,12,23,6,10.375,20,61,2,1,2
2014-06-19,2014,6,19,7,15.2875,19,21,3,5,2
2014-06-19,2014,6,19,7,15.2875,19,21,3,5,2
2014-06-19,2014,6,19,7,15.2875,19,21,3,5,2
2014-06-19,2014,6,19,7,15.2875,19,21,3,5,2
2014-06-19,2014,6,19,7,15.2875,19,21,3,5,2
2015-11-13,2015,11,13,4,11.75,19,21,2,5,2
2015-11-18,2015,11,18,6,10.75,19,21,2,5,2
2015-12-06,2015,12,6,7,10.875,19,20,2,5,2
2016-04-17,2016,4,17,4,9.875,19,21,2,5,2
2017-01-04,2017,1,4,4,4,19,20,2,5,2
2017-04-10,2017,4,10,7,9.5,19,21,2,5,2
2018-10-25,2018,10,25,6,11.125,19,21,2,5,2
2019-01-08,2019,1,8,6,5.5,19,21,2,5,2
2015-11-13,2015,11,13,4,11.75,19,21,2,5,2
2015-11-18,2015,11,18,6,10.75,19,21,2,5,2
2015-12-06,2015,12,6,7,10.875,19,20,2,5,2
2016-04-17,2016,4,17,4,9.875,19,21,2,5,2
2017-01-04,2017,1,4,4,4,19,20,2,5,2
2017-04-10,2017,4,10,7,9.5,19,21,2,5,2
2018-10-25,2018,10,25,6,11.125,19,21,2,5,2
2019-01-08,2019,1,8,6,5.5,19,21,2,5,2
2015-11-13,2015,11,13,4,11.75,19,21,2,5,2
2015-11-18,2015,11,18,6,10.75,19,21,2,5,2
2015-12-06,2015,12,6,7,10.875,19,20,2,5,2
2016-04-17,2016,4,17,4,9.875,19,21,2,5,2
2017-01-04,2017,1,4,4,4,19,20,2,5,2
2017-04-10,2017,4,10,7,9.5,19,21,2,5,2
2018-10-25,2018,10,25,6,11.125,19,21,2,5,2
2019-01-08,2019,1,8,6,5.5,19,21,2,5,2
2015-11-13,2015,11,13,4,11.75,19,21,2,5,2
2015-11-18,2015,11,18,6,10.75,19,21,2,5,2
2015-12-06,2015,12,6,7,10.875,19,20,2,5,2
2016-04-17,2016,4,17,4,9.875,19,21,2,5,2
2017-01-04,2017,1,4,4,4,19,20,2,5,2
2017-04-10,2017,4,10,7,9.5,19,21,2,5,2
2018-10-25,2018,10,25,6,11.125,19,21,2,5,2
2019-01-08,2019,1,8,6,5.5,19,21,2,5,2
2015-11-13,2015,11,13,4,11.75,19,21,2,5,2
2015-11-18,2015,11,18,6,10.75,19,21,2,5,2
2015-12-06,2015,12,6,7,10.875,19,20,2,5,2
2016-04-17,2016,4,17,4,9.875,19,21,2,5,2
2017-01-04,2017,1,4,4,4,19,20,2,5,2
2017-04-10,2017,4,10,7,9.5,19,21,2,5,2
2018-10-25,2018,10,25,6,11.125,19,21,2,5,2
2019-01-08,2019,1,8,6,5.5,19,21,2,5,2
2015-11-18,2015,11,18,6,10.75,19,21,2,5,2
2015-12-06,2015,12,6,7,10.875,19,20,2,5,2
2014-06-22,2014,6,22,5,15.7,19,0,3,4,2
2014-07-21,2014,7,21,0,23.4875,19,5,3,4,2
2015-04-15,2015,4,15,0,15.5,19,5,3,4,2
2016-09-28,2016,9,28,6,19.125,19,0,3,4,2
2018-07-07,2018,7,7,0,20.25,19,5,3,4,2
2014-06-22,2014,6,22,5,15.7,19,0,3,4,2
2014-07-21,2014,7,21,0,23.4875,19,5,3,4,2
2015-04-15,2015,4,15,0,15.5,19,5,3,4,2
2016-09-28,2016,9,28,6,19.125,19,0,3,4,2
2018-07-07,2018,7,7,0,20.25,19,5,3,4,2
2014-06-22,2014,6,22,5,15.7,19,0,3,4,2
2014-07-21,2014,7,21,0,23.4875,19,5,3,4,2
2015-04-15,2015,4,15,0,15.5,19,5,3,4,2
2016-09-28,2016,9,28,6,19.125,19,0,3,4,2
2018-07-07,2018,7,7,0,20.25,19,5,3,4,2
2014-06-22,2014,6,22,5,15.7,19,0,3,4,2
2014-07-21,2014,7,21,0,23.4875,19,5,3,4,2
2015-04-15,2015,4,15,0,15.5,19,5,3,4,2
2016-09-28,2016,9,28,6,19.125,19,0,3,4,2
2018-07-07,2018,7,7,0,20.25,19,5,3,4,2
2014-06-22,2014,6,22,5,15.7,19,0,3,4,2
2014-07-21,2014,7,21,0,23.4875,19,5,3,4,2
2015-04-15,2015,4,15,0,15.5,19,5,3,4,2
2016-09-28,2016,9,28,6,19.125,19,0,3,4,2
2018-07-07,2018,7,7,0,20.25,19,5,3,4,2
